mesh_name,G_N,G_NNZ,solver_type,ordering_type,nd_levels,patch_type,patch_size,patch_time,factor/matrix NNZ ratio,ordering_time,analysis_time,factorization_time,solve_time,residual
plane_subdiv,2209,15169,CUDSS,PARTH,11,,0,0,2.63729,49,15,11,3,3.67595e-15
triceratops,2832,19812,CUDSS,PARTH,9,,0,0,4.31183,48,14,12,3,4.46602e-15
triceratops,2832,19812,CUDSS,PARTH,11,,0,0,4.32071,51,15,12,3,4.44252e-15
cloth_uni_loop,3430,23540,CUDSS,PARTH,9,,0,0,4.66899,46,14,11,3,4.86373e-15
cloth_uni_loop,3430,23540,CUDSS,PARTH,11,,0,0,4.69524,68,16,12,4,4.82738e-15
torus,4608,32256,CUDSS,PARTH,9,,0,0,5.2947,55,15,11,3,5.46982e-15
torus,4608,32256,CUDSS,PARTH,11,,0,0,5.15296,73,16,13,3,5.57535e-15
sphere5,6146,43010,CUDSS,PARTH,9,,0,0,8.75727,57,16,11,4,6.63722e-15
sphere5,6146,43010,CUDSS,PARTH,11,,0,0,8.79898,90,17,11,4,6.64166e-15
upsample_box,6146,43010,CUDSS,PARTH,9,,0,0,8.85678,66,15,11,4,6.36292e-15
upsample_box,6146,43010,CUDSS,PARTH,11,,0,0,8.90184,94,17,12,4,6.40348e-15
Nicolo_da_Uzzano,6471,44963,CUDSS,PARTH,9,,0,0,5.66401,62,16,11,4,6.82606e-15
Nicolo_da_Uzzano,6471,44963,CUDSS,PARTH,11,,0,0,5.62047,92,17,13,3,6.86172e-15
Fennec_Fox,6563,45929,CUDSS,PARTH,9,,0,0,6.36933,61,16,11,3,6.74592e-15
Fennec_Fox,6563,45929,CUDSS,PARTH,11,,0,0,6.24971,88,16,16,4,6.76219e-15
squirrel,8800,61588,CUDSS,PARTH,9,,0,0,6.03569,79,17,11,4,7.8122e-15
squirrel,8800,61588,CUDSS,PARTH,11,,0,0,6.03803,106,17,11,4,7.81191e-15
dragon,10000,70000,CUDSS,PARTH,9,,0,0,5.23463,84,17,11,4,8.37929e-15
dragon,10000,70000,CUDSS,PARTH,11,,0,0,5.1452,128,18,12,4,8.39815e-15
rocker-arm,10044,70308,CUDSS,PARTH,9,,0,0,5.42211,90,17,11,4,8.37502e-15
rocker-arm,10044,70308,CUDSS,PARTH,11,,0,0,5.4911,124,17,17,5,8.39844e-15
complex_tube,10841,76031,CUDSS,PARTH,9,,0,0,6.62368,103,18,11,4,8.60953e-15
complex_tube,10841,76031,CUDSS,PARTH,11,,0,0,6.54695,133,18,11,4,8.66071e-15
armadillo,13035,91233,CUDSS,PARTH,9,,0,0,5.70332,94,17,16,5,9.5468e-15
armadillo,13035,91233,CUDSS,PARTH,11,,0,0,5.66305,137,19,17,5,9.54624e-15
ear2,13496,94448,CUDSS,PARTH,9,,0,0,6.80785,89,18,11,4,9.80938e-15
ear2,13496,94448,CUDSS,PARTH,11,,0,0,6.71658,149,19,11,4,9.76235e-15
cloth_loop3,14320,99322,CUDSS,PARTH,9,,0,0,6.17924,117,19,15,9,9.89784e-15
cloth_loop3,14320,99322,CUDSS,PARTH,11,,0,0,6.11093,150,19,11,4,9.96175e-15
Land,14738,103154,CUDSS,PARTH,9,,0,0,4.99521,90,18,10,4,1.01265e-14
Land,14738,103154,CUDSS,PARTH,11,,0,0,4.96275,152,19,16,4,1.0011e-14
davidhead,14964,104736,CUDSS,PARTH,9,,0,0,7.69046,134,19,13,5,1.03546e-14
davidhead,14964,104736,CUDSS,PARTH,11,,0,0,7.68085,159,19,11,5,1.038e-14
beetle,19887,136991,CUDSS,PARTH,9,,0,0,6.28928,101,19,11,4,1.19797e-14
beetle,19887,136991,CUDSS,PARTH,11,,0,0,6.2005,185,19,11,5,1.20551e-14
bumpy-cube,19970,139778,CUDSS,PARTH,9,,0,0,9.10398,131,20,15,7,1.20886e-14
bumpy-cube,19970,139778,CUDSS,PARTH,11,,0,0,8.92696,180,21,11,5,1.20868e-14
sphere6,24578,172034,CUDSS,PARTH,9,,0,0,10.9966,131,22,11,7,1.33177e-14
sphere6,24578,172034,CUDSS,PARTH,11,,0,0,10.7806,207,22,11,6,1.32951e-14
gargoyle,29921,209435,CUDSS,PARTH,9,,0,0,7.27108,125,24,13,6,1.47539e-14
gargoyle,29921,209435,CUDSS,PARTH,11,,0,0,7.03494,239,24,10,5,1.47364e-14
191118_mia337_081675_64Kmesh_MMrepaired,31771,223621,CUDSS,PARTH,9,,0,0,6.76414,146,25,11,6,1.50291e-14
