G_N,G_NNZ,factor/matrix NNZ ratio,factor/metis factor,org factor/metis factor,ordering_time,analysis_time,factorization_time,solve_time,residual
120000,2057541,23.5297,1.31686,1.3517,61,-1,-1,-1,0
120000,2057982,23.5279,1.29999,1.33573,57,-1,-1,-1,0
120000,2059053,23.9679,1.33663,1.35047,54,-1,-1,-1,0
120000,2059665,23.8133,1.31114,1.33579,58,-1,-1,-1,0
120000,2059917,23.3898,1.294,1.34293,74,-1,-1,-1,0
120000,2060565,24.2603,1.3548,1.36034,54,-1,-1,-1,0
120000,2060925,23.6036,1.3156,1.35821,54,-1,-1,-1,0
120000,2061591,23.1706,1.29058,1.37528,62,-1,-1,-1,0
120000,2062464,23.9463,1.3274,1.40954,54,-1,-1,-1,0
120000,2062977,24.542,1.34861,1.3985,75,-1,-1,-1,0
120000,2063499,24.2618,1.33754,1.41176,59,-1,-1,-1,0
120000,2063841,24.5128,1.35532,1.41635,54,-1,-1,-1,0
120000,2064534,23.5176,1.29343,1.43443,53,-1,-1,-1,0
120000,2066109,24.2286,1.3225,1.43571,54,-1,-1,-1,0
120000,2066793,25.0132,1.37374,1.45134,56,-1,-1,-1,0
120000,2067207,24.4383,1.34407,1.45533,54,-1,-1,-1,0
120000,2068098,24.5113,1.34067,1.45027,50,-1,-1,-1,0
120000,2068899,23.8291,1.30546,1.45347,59,-1,-1,-1,0
120000,2069862,25.0634,1.36371,1.45452,62,-1,-1,-1,0
120000,2070492,25.8492,1.40125,1.46279,56,-1,-1,-1,0
120000,2071383,25.1184,1.35755,1.46618,52,-1,-1,-1,0
120000,2072202,24.9281,1.35156,1.47741,70,-1,-1,-1,0
120000,2072724,24.8179,1.33476,1.46982,60,-1,-1,-1,0
120000,2072832,24.5386,1.32956,1.48333,64,-1,-1,-1,0
120000,2073552,23.8242,1.28489,1.47947,51,-1,-1,-1,0
120000,2073660,24.2269,1.31947,1.49539,55,-1,-1,-1,0
120000,2073768,24.7933,1.354,1.49888,70,-1,-1,-1,0
120000,2073795,24.7662,1.34738,1.49355,54,-1,-1,-1,0
120000,2074335,24.4969,1.33108,1.51267,58,-1,-1,-1,0
120000,2074371,24.5076,1.3153,1.49385,71,-1,-1,-1,0
120000,2074317,24.4784,1.33245,1.51572,52,-1,-1,-1,0
120000,2074344,23.81,1.28403,1.50242,55,-1,-1,-1,0
120000,2074299,24.8621,1.35715,1.51416,54,-1,-1,-1,0
120000,2074263,24.6489,1.32856,1.49533,64,-1,-1,-1,0
120000,2074200,26.0964,1.42504,1.51267,61,-1,-1,-1,0
120000,2074254,24.5153,1.32892,1.47885,57,-1,-1,-1,0
120000,2074263,24.3288,1.3075,1.46559,58,-1,-1,-1,0
120000,2074254,24.0009,1.29278,1.46594,53,-1,-1,-1,0
120000,2074263,24.6422,1.32817,1.46685,55,-1,-1,-1,0
120000,2074317,23.8167,1.28199,1.46434,63,-1,-1,-1,0
120000,2070951,24.2481,1.3184,1.47063,59,-1,-1,-1,0
120000,2072328,24.6321,1.32994,1.47412,56,-1,-1,-1,0
120000,2073336,24.8433,1.33816,1.49407,55,-1,-1,-1,0
120000,2074137,24.8194,1.33091,1.49173,57,-1,-1,-1,0
120000,2074857,24.9364,1.3418,1.51866,61,-1,-1,-1,0
120000,2075658,24.7541,1.31894,1.50765,51,-1,-1,-1,0
120000,2076405,24.9983,1.34135,1.52159,54,-1,-1,-1,0
120000,2077179,25.1506,1.35288,1.52735,76,-1,-1,-1,0
120000,2080221,25.4396,1.32836,1.49846,59,-1,-1,-1,0
120000,2081805,24.9243,1.32125,1.53263,54,-1,-1,-1,0
120000,2082948,25.5494,1.36014,1.54576,60,-1,-1,-1,0
120000,2084307,25.6672,1.35405,1.5717,64,-1,-1,-1,0
120000,2085945,25.028,1.31491,1.57627,58,-1,-1,-1,0
120000,2087367,25.2637,1.31587,1.54555,57,-1,-1,-1,0
120000,2088582,26.9787,1.42672,1.57434,60,-1,-1,-1,0
120000,2089959,25.7535,1.34348,1.56499,61,-1,-1,-1,0
120000,2091228,25.4481,1.33592,1.58152,57,-1,-1,-1,0
120000,2092281,27.2609,1.3989,1.55316,55,-1,-1,-1,0
120000,2093946,26.2749,1.34889,1.56583,60,-1,-1,-1,0
120000,2094828,26.1001,1.36265,1.60132,66,-1,-1,-1,0
120000,2095701,26.7114,1.37241,1.57476,57,-1,-1,-1,0
120000,2096574,26.0256,1.34362,1.59975,55,-1,-1,-1,0
120000,2097708,25.5987,1.29656,1.57172,57,-1,-1,-1,0
120000,2098077,26.8609,1.37793,1.5933,59,-1,-1,-1,0
120000,2098446,26.3023,1.3545,1.60045,58,-1,-1,-1,0
120000,2098905,27.3039,1.40787,1.60271,58,-1,-1,-1,0
