mesh_name,G_N,G_NNZ,solver_type,ordering_type,nd_levels,patch_type,patch_size,factor/matrix NNZ ratio,ordering_time,analysis_time,factorization_time,solve_time,residual
cloth10x10,952741,6661303,CUDSS,PARTH,9,rxmesh,24,9.30554,3805,-1,-1,-1,0
cloth10x10,952741,6661303,CUDSS,PARTH,11,rxmesh,24,9.27697,3748,-1,-1,-1,0
scorpion_low_resolution,6315,44193,CUDSS,PARTH,3,rxmesh,24,5.42034,21,-1,-1,-1,0
scorpion_low_resolution,6315,44193,CUDSS,PARTH,5,rxmesh,24,5.44831,33,-1,-1,-1,0
scorpion_low_resolution,6315,44193,CUDSS,PARTH,7,rxmesh,24,5.39744,38,-1,-1,-1,0
scorpion_low_resolution,6315,44193,CUDSS,PARTH,9,rxmesh,24,5.31032,56,-1,-1,-1,0
scorpion_low_resolution,6315,44193,CUDSS,PARTH,11,rxmesh,24,5.37472,88,-1,-1,-1,0
SkysSkull_2_bone-smoothed-orientated,1347290,9489650,CUDSS,PARTH,3,rxmesh,24,8.4675,3540,-1,-1,-1,0
SkysSkull_2_bone-smoothed-orientated,1347290,9489650,CUDSS,PARTH,5,rxmesh,24,8.50199,5453,-1,-1,-1,0
SkysSkull_2_bone-smoothed-orientated,1347290,9489650,CUDSS,PARTH,7,rxmesh,24,8.51683,5592,-1,-1,-1,0
SkysSkull_2_bone-smoothed-orientated,1347290,9489650,CUDSS,PARTH,9,rxmesh,24,8.47879,5570,-1,-1,-1,0
SkysSkull_2_bone-smoothed-orientated,1347290,9489650,CUDSS,PARTH,11,rxmesh,24,8.47919,5350,-1,-1,-1,0
violin,127968,895824,CUDSS,PARTH,3,rxmesh,24,9.20598,332,-1,-1,-1,0
violin,127968,895824,CUDSS,PARTH,5,rxmesh,24,9.24915,484,-1,-1,-1,0
violin,127968,895824,CUDSS,PARTH,7,rxmesh,24,9.2652,454,-1,-1,-1,0
violin,127968,895824,CUDSS,PARTH,9,rxmesh,24,9.27172,428,-1,-1,-1,0
violin,127968,895824,CUDSS,PARTH,11,rxmesh,24,9.16241,558,-1,-1,-1,0
Portrait_Statue_Of_-Aule_Meteli,1792311,12542759,CUDSS,PATCH_ORDERING,3,metis_kway,64,13.71,1970,-1,-1,-1,0
Portrait_Statue_Of_-Aule_Meteli,1792311,12542759,CUDSS,PATCH_ORDERING,5,metis_kway,64,14.1824,1143,-1,-1,-1,0
Portrait_Statue_Of_-Aule_Meteli,1792311,12542759,CUDSS,PATCH_ORDERING,7,metis_kway,64,14.2828,1053,-1,-1,-1,0
Portrait_Statue_Of_-Aule_Meteli,1792311,12542759,CUDSS,PATCH_ORDERING,9,metis_kway,64,14.575,1085,-1,-1,-1,0
Portrait_Statue_Of_-Aule_Meteli,1792311,12542759,CUDSS,PATCH_ORDERING,11,metis_kway,64,14.9215,1395,-1,-1,-1,0
Portrait_Statue_Of_-Aule_Meteli,1792311,12542759,CUDSS,PATCH_ORDERING,3,metis_kway,256,13.8416,1763,-1,-1,-1,0
Portrait_Statue_Of_-Aule_Meteli,1792311,12542759,CUDSS,PATCH_ORDERING,5,metis_kway,256,14.5234,1034,-1,-1,-1,0
Portrait_Statue_Of_-Aule_Meteli,1792311,12542759,CUDSS,PATCH_ORDERING,7,metis_kway,256,14.8169,876,-1,-1,-1,0
Portrait_Statue_Of_-Aule_Meteli,1792311,12542759,CUDSS,PATCH_ORDERING,9,metis_kway,256,15.1291,926,-1,-1,-1,0
Portrait_Statue_Of_-Aule_Meteli,1792311,12542759,CUDSS,PATCH_ORDERING,11,metis_kway,256,15.512,1209,-1,-1,-1,0
Portrait_Statue_Of_-Aule_Meteli,1792311,12542759,CUDSS,PATCH_ORDERING,3,metis_kway,512,13.9958,1752,-1,-1,-1,0
Portrait_Statue_Of_-Aule_Meteli,1792311,12542759,CUDSS,PATCH_ORDERING,5,metis_kway,512,14.8417,1003,-1,-1,-1,0
Portrait_Statue_Of_-Aule_Meteli,1792311,12542759,CUDSS,PATCH_ORDERING,7,metis_kway,512,14.758,834,-1,-1,-1,0
Portrait_Statue_Of_-Aule_Meteli,1792311,12542759,CUDSS,PATCH_ORDERING,9,metis_kway,512,15.2017,944,-1,-1,-1,0
Portrait_Statue_Of_-Aule_Meteli,1792311,12542759,CUDSS,PATCH_ORDERING,11,metis_kway,512,15.6501,1156,-1,-1,-1,0
Portrait_Statue_Of_-Aule_Meteli,1792311,12542759,CUDSS,PATCH_ORDERING,3,rxmesh,64,13.7204,2039,-1,-1,-1,0
Portrait_Statue_Of_-Aule_Meteli,1792311,12542759,CUDSS,PATCH_ORDERING,5,rxmesh,64,14.5762,1346,-1,-1,-1,0
Portrait_Statue_Of_-Aule_Meteli,1792311,12542759,CUDSS,PATCH_ORDERING,7,rxmesh,64,14.5169,1055,-1,-1,-1,0
Portrait_Statue_Of_-Aule_Meteli,1792311,12542759,CUDSS,PATCH_ORDERING,9,rxmesh,64,15.1121,1196,-1,-1,-1,0
Portrait_Statue_Of_-Aule_Meteli,1792311,12542759,CUDSS,PATCH_ORDERING,11,rxmesh,64,15.408,1451,-1,-1,-1,0
Portrait_Statue_Of_-Aule_Meteli,1792311,12542759,CUDSS,PATCH_ORDERING,3,rxmesh,256,14.0106,1842,-1,-1,-1,0
Portrait_Statue_Of_-Aule_Meteli,1792311,12542759,CUDSS,PATCH_ORDERING,5,rxmesh,256,14.9604,1062,-1,-1,-1,0
Portrait_Statue_Of_-Aule_Meteli,1792311,12542759,CUDSS,PATCH_ORDERING,7,rxmesh,256,15.2846,894,-1,-1,-1,0
Portrait_Statue_Of_-Aule_Meteli,1792311,12542759,CUDSS,PATCH_ORDERING,9,rxmesh,256,15.941,1026,-1,-1,-1,0
Portrait_Statue_Of_-Aule_Meteli,1792311,12542759,CUDSS,PATCH_ORDERING,11,rxmesh,256,16.4183,1240,-1,-1,-1,0
Portrait_Statue_Of_-Aule_Meteli,1792311,12542759,CUDSS,PATCH_ORDERING,3,rxmesh,512,14.0758,1708,-1,-1,-1,0
Portrait_Statue_Of_-Aule_Meteli,1792311,12542759,CUDSS,PATCH_ORDERING,5,rxmesh,512,15.223,1002,-1,-1,-1,0
Portrait_Statue_Of_-Aule_Meteli,1792311,12542759,CUDSS,PATCH_ORDERING,7,rxmesh,512,15.4287,840,-1,-1,-1,0
Portrait_Statue_Of_-Aule_Meteli,1792311,12542759,CUDSS,PATCH_ORDERING,9,rxmesh,512,16.3482,901,-1,-1,-1,0
Portrait_Statue_Of_-Aule_Meteli,1792311,12542759,CUDSS,PATCH_ORDERING,11,rxmesh,512,16.9703,1129,-1,-1,-1,0
blue-crab-master-geometry,5658726,39611238,CUDSS,PATCH_ORDERING,3,metis_kway,64,15.945,3507,-1,-1,-1,0
blue-crab-master-geometry,5658726,39611238,CUDSS,PATCH_ORDERING,5,metis_kway,64,15.5387,2600,-1,-1,-1,0
blue-crab-master-geometry,5658726,39611238,CUDSS,PATCH_ORDERING,7,metis_kway,64,15.537,2059,-1,-1,-1,0
blue-crab-master-geometry,5658726,39611238,CUDSS,PATCH_ORDERING,9,metis_kway,64,15.4619,1976,-1,-1,-1,0
blue-crab-master-geometry,5658726,39611238,CUDSS,PATCH_ORDERING,11,metis_kway,64,15.518,2296,-1,-1,-1,0
blue-crab-master-geometry,5658726,39611238,CUDSS,PATCH_ORDERING,3,metis_kway,256,15.4651,3317,-1,-1,-1,0
blue-crab-master-geometry,5658726,39611238,CUDSS,PATCH_ORDERING,5,metis_kway,256,15.6949,2257,-1,-1,-1,0
blue-crab-master-geometry,5658726,39611238,CUDSS,PATCH_ORDERING,7,metis_kway,256,16.0289,1756,-1,-1,-1,0
blue-crab-master-geometry,5658726,39611238,CUDSS,PATCH_ORDERING,9,metis_kway,256,16.022,1673,-1,-1,-1,0
blue-crab-master-geometry,5658726,39611238,CUDSS,PATCH_ORDERING,11,metis_kway,256,16.1806,1853,-1,-1,-1,0
blue-crab-master-geometry,5658726,39611238,CUDSS,PATCH_ORDERING,3,metis_kway,512,16.0619,3171,-1,-1,-1,0
blue-crab-master-geometry,5658726,39611238,CUDSS,PATCH_ORDERING,5,metis_kway,512,16.0732,2188,-1,-1,-1,0
