mesh_name,iteration,ordering_type,solver_type,G_N,G_NNZ,nd_levels,patch_type,patch_size,patch_time,factor/matrix NNZ ratio,prep_time,ordering_time,ordering_integration_time,analysis_time,factorization_time,solve_time,residual
edgar-allan-poe-1,0,DEFAULT,CUDSS,194632,1362412,0,,0,0,0,-1,-1,919,40,16,8,12461.8
edgar-allan-poe-1,1,DEFAULT,CUDSS,194632,1362412,0,,0,0,0,0,0,0,0,10,7,7.79651e-05
edgar-allan-poe-1,2,DEFAULT,CUDSS,194632,1362412,0,,0,0,0,0,0,0,0,10,7,3.69673e-05
edgar-allan-poe-1,3,DEFAULT,CUDSS,194632,1362412,0,,0,0,0,0,0,0,0,10,7,3.09103e-05
edgar-allan-poe-1,4,DEFAULT,CUDSS,194632,1362412,0,,0,0,0,0,0,0,0,10,7,2.83807e-05
edgar-allan-poe-1,5,DEFAULT,CUDSS,194632,1362412,0,,0,0,0,0,0,0,0,10,7,2.67813e-05
d200k,0,DEFAULT,CUDSS,200926,1402776,0,,0,0,0,-1,-1,901,49,20,9,0.0015279
d200k,1,DEFAULT,CUDSS,200926,1402776,0,,0,0,0,0,0,0,0,15,8,3.91461e-05
d200k,2,DEFAULT,CUDSS,200926,1402776,0,,0,0,0,0,0,0,0,14,8,3.90349e-05
d200k,3,DEFAULT,CUDSS,200926,1402776,0,,0,0,0,0,0,0,0,14,8,4.04566e-05
d200k,4,DEFAULT,CUDSS,200926,1402776,0,,0,0,0,0,0,0,0,14,8,4.22742e-05
d200k,5,DEFAULT,CUDSS,200926,1402776,0,,0,0,0,0,0,0,0,14,8,4.42182e-05
Hans_Moser_C,0,DEFAULT,CUDSS,203915,1427393,0,,0,0,0,-1,-1,928,48,19,8,0.0646614
Hans_Moser_C,1,DEFAULT,CUDSS,203915,1427393,0,,0,0,0,0,0,0,0,14,7,2.65287e-05
Hans_Moser_C,2,DEFAULT,CUDSS,203915,1427393,0,,0,0,0,0,0,0,0,14,7,1.60137e-05
Hans_Moser_C,3,DEFAULT,CUDSS,203915,1427393,0,,0,0,0,0,0,0,0,14,7,1.3691e-05
Hans_Moser_C,4,DEFAULT,CUDSS,203915,1427393,0,,0,0,0,0,0,0,0,14,7,1.26789e-05
Hans_Moser_C,5,DEFAULT,CUDSS,203915,1427393,0,,0,0,0,0,0,0,0,14,7,1.21322e-05
Maenner_Gespraech_C,0,DEFAULT,CUDSS,237402,1661886,0,,0,0,0,-1,-1,1093,54,20,9,59.4644
Maenner_Gespraech_C,1,DEFAULT,CUDSS,237402,1661886,0,,0,0,0,0,0,0,0,15,8,6.03662e-05
Maenner_Gespraech_C,2,DEFAULT,CUDSS,237402,1661886,0,,0,0,0,0,0,0,0,15,8,3.99841e-05
Maenner_Gespraech_C,3,DEFAULT,CUDSS,237402,1661886,0,,0,0,0,0,0,0,0,15,8,3.49354e-05
Maenner_Gespraech_C,4,DEFAULT,CUDSS,237402,1661886,0,,0,0,0,0,0,0,0,15,8,3.2545e-05
Maenner_Gespraech_C,5,DEFAULT,CUDSS,237402,1661886,0,,0,0,0,0,0,0,0,15,8,3.13966e-05
Marx_Mozart_C,0,DEFAULT,CUDSS,241878,1695366,0,,0,0,0,-1,-1,1167,42,16,9,32.6684
Marx_Mozart_C,1,DEFAULT,CUDSS,241878,1695366,0,,0,0,0,0,0,0,0,11,8,0.000268976
Marx_Mozart_C,2,DEFAULT,CUDSS,241878,1695366,0,,0,0,0,0,0,0,0,11,8,0.000154154
Marx_Mozart_C,3,DEFAULT,CUDSS,241878,1695366,0,,0,0,0,0,0,0,0,11,8,0.000131146
Marx_Mozart_C,4,DEFAULT,CUDSS,241878,1695366,0,,0,0,0,0,0,0,0,11,8,0.000120877
Marx_Mozart_C,5,DEFAULT,CUDSS,241878,1695366,0,,0,0,0,0,0,0,0,11,8,0.000114786
